Standard Room, STD, 100, Phòng tiêu chuẩn với các tiện nghi cơ bản như giường đôi hoặc hai giường đơn TV điều hòa nhiệt độ và phòng tắm riêng.
Deluxe Room, DLX, 150, Phòng lớn hơn với nội thất và tiện nghi cao cấp hơn có thể bao gồm ghế sofa minibar và tầm nhìn tốt hơn.
Suite, STE, 250, Phòng lớn với khu vực sống riêng phòng ngủ riêng biệt và các tiện nghi cao cấp như bồn tắm jacuzzi dịch vụ phòng 24/7 và truy cập vào các khu vực riêng lẻ.
Family Room, FAM, 120, Phòng chuyên dành cho gia đình với giường đôi và giường đơn hoặc giường tầng có thể đi kèm với các tiện ích như trò chơi và đồ chơi cho trẻ em.
Executive Room, EXE, 180, Phòng dành cho doanh nhân với các tiện ích như máy tính xách tay bàn làm việc và dịch vụ làm việc.
Special Room, SPL, 200, Phòng được thiết kế đặc biệt với trang thiết bị và trang trí riêng có thể bao gồm các tiện ích độc đáo như bể tắm nước nóng riêng tư.
Sea View Room, SEA, 180, Phòng có tầm nhìn tuyệt vời về biển hoặc cảnh đẹp tự nhiên thường có ban công riêng.
Non-Smoking Room, NON, 110, Phòng dành cho khách không hút thuốc với nội thất và không gian không hút thuốc.
Conference Room, CONF, 300, Phòng chuyên dành cho tổ chức hội nghị và sự kiện có trang thiết bị âm thanh và trực tuyến.
Accessible Room, ACC, 130, Phòng thiết kế để đáp ứng các yêu cầu của khách có khuyết tật với các tiện ích như cầu thang và phòng tắm dành cho người tàn tật.
